SAPSyncPlant,SapSyncAvailableRetries,SAPSyncEvent,SAPSyncTagID,SAPSyncUser,SAPSyncScanZone,id,SAPSync,ScanZone,SAPSyncErrorMessage,SAPSyncTime,serialTag,serial
7394,4,ChangeStatus,201309188726030001015619,root,7394_NI,3705,false,7394_NI,Tag ID :201309188726030001015619 Not assosciated to any Equipment.,1441125859392,201309188726030001015619,12722196
7394,4,ChangeStatus,201309198726030001015927,root,7394_INUSE,4390,false,7394_InUse,Tag ID :201309198726030001015927 Not assosciated to any Equipment.,1442703718247,201309198726030001015927,12722253
7394,4,ChangeStatus,2013091487260300010129A2,root,7394_INUSE,10629,false,7394_InUse,Tag ID :2013091487260300010129A2 Not assosciated to any Equipment.,1442590489018,2013091487260300010129A2,12728369
7395,4,ChangeStatus,201309198726030001016029,root,7395_NI,6092,false,7395_NI,Tag ID :201309198726030001016029 Not assosciated to any Equipment.,1437808275531,201309198726030001016029,12735637
7395,3,ChangeStatus,201309198726030001015E2E,root,7395_NI,6001,false,7395_NI,Tag ID :201309198726030001015E2E Not assosciated to any Equipment.,1438704154729,201309198726030001015E2E,12735674
7395,4,ChangeStatus,201309198726030001015FFA,root,7395_NI,6032,false,7395_NI,Tag ID :201309198726030001015FFA Not assosciated to any Equipment.,1441125001343,201309198726030001015FFA,12735715
7393,4,ChangeStatus,20130922872603000101A16B,medinaa,7393_AVAILABLE,8481,false,7393_Available,Tag ID :20130922872603000101A16B Not assosciated to any Equipment.,1441925317378,20130922872603000101A16B,12738725
7394,4,ChangeStatus,20130923872603000101AE39,root,7394_INUSE,11000,false,7394_InUse,Tag ID :20130923872603000101AE39 Not assosciated to any Equipment.,1442699209051,20130923872603000101AE39,12740511
7394,4,ChangeStatus,201309158726030001012C35,root,7394_INUSE,10967,false,7394_InUse,Tag ID :201309158726030001012C35 Not assosciated to any Equipment.,1441781579550,201309158726030001012C35,12744245
7394,4,ChangeStatus,20130922872603000101A1BC,root,7394_INUSE,10996,false,7394_InUse,Tag ID :20130922872603000101A1BC Not assosciated to any Equipment.,1442693718779,20130922872603000101A1BC,12744256
7394,4,ChangeStatus,201309158726030001012FD8,root,7394_INUSE,10994,false,7394_InUse,Tag ID :201309158726030001012FD8 Not assosciated to any Equipment.,1442694003714,201309158726030001012FD8,12744257
7395,4,ChangeStatus,201309148726030001011ABC,root,7395_INUSE,6070,false,7395_InUse,Tag ID :201309148726030001011ABC Not assosciated to any Equipment.,1439167755922,201309148726030001011ABC,12745489
